Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
Kia,Forte,2009,Black ,Petrol ,Automatic,1600,90000,private ,21/09/2016,68000
Kia,Cerato,2007,White ,Petrol ,Automatic,1600,90000,private ,21/09/2016,50000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1600,90000,private ,21/09/2016,44000
Ford,Fiesta,2012,Blue Cyan ,Petrol ,manuel,1250,90000,private ,22/09/2016,51000
Skoda,Octavia,2002,White ,Diesel ,manuel,1900,90000,Taxi ,25/09/2016,37000
Skoda,Octavia,2011,Blue ,Diesel ,manuel,1600,90000,private ,26/09/2016,90000
Toyota,Corolla,1999,Purple ,Petrol ,Automatic,1600,90000,private ,26/09/2016,45000
Opel,Astra,2012,Residential ,Petrol ,manuel,1600,91000,private ,22/09/2016,59000
Skoda,Octavia,2014,Black Metallic ,Diesel ,manuel,1600,91000,private ,24/09/2016,99000
Citroen,Berlingo,2013,Black Metallic ,Diesel ,manuel,1600,93000,private ,27/09/2016,80000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1400,94000,private ,20/09/2016,46000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1400,94000,private ,22/09/2016,46000
BMW,520,2013,Ferrani ,Petrol ,Automatic,2000,94000,private ,25/09/2016,220000
Volkswagen,Tiguan,2013,White ,Petrol ,Automatic,2000,96000,private ,21/09/2016,130000
Mazda,3,2008,Golden ,Petrol ,Automatic,2000,97000,private ,26/09/2016,73000
Skoda,Octavia,2012,Gray ,Diesel ,manuel,1600,98000,private ,26/09/2016,96000
VW,Polo,2008,Gray ,Petrol ,manuel,1400,99654,private ,25/09/2016,53000
Volkswagen,Passat,2010,Black Metallic ,Diesel ,Automatic,1995,100000,private ,20/09/2016,95000
Hyundai,Tucson,2013,Gray ,Diesel ,Automatic,2000,100000,private ,20/09/2016,105000
Kia,Rio,2010,White ,Diesel ,manuel,1500,100000,Taxi ,21/09/2016,45000
Skoda,Octavia,2013,White ,Diesel ,manuel,1600,100000,private ,22/09/2016,96000
Hyundai,Tucson,2008,Silver ,Diesel ,Automatic,2000,100000,private ,24/09/2016,60000
Skoda,Roomster,2012,Black Metallic ,Diesel ,manuel,1600,100000,private ,24/09/2016,73000
Mitsubishi,Pajero,2009,White ,Diesel ,Automatic,3200,100000,private ,24/09/2016,160000
Hyundai,Tucson,2008,Silver ,Diesel ,Automatic,2000,100000,private ,25/09/2016,68000
Skoda,Octavia,2012,Black Metallic ,Diesel ,manuel,1600,100000,private ,25/09/2016,85000
Hyundai,Tucson,2008,Oily Color ,Diesel ,Automatic,2000,100000,private ,26/09/2016,68000
Kia,Forte,2008,Gray ,Petrol ,Automatic,1600,100000,private ,26/09/2016,58500
BMW,318,1993,White ,Petrol ,manuel,1600,100769,private ,25/09/2016,19200
Hyundai,i10,2008,Silver ,Petrol ,manuel,1300,101800,private ,22/09/2016,35000
Skoda,Superb,2014,Russet ,Diesel ,Automatic,2000,102000,private ,27/09/2016,152000
BMW,520,2014,White Ivory ,Petrol ,Automatic,2000,103000,private ,20/09/2016,220000
Skoda,Octavia,2011,Gray ,Diesel ,manuel,1600,103000,private ,22/09/2016,84000
Skoda,Fabia,2008,Russet ,Petrol ,manuel,1400,104000,private ,22/09/2016,51500
Hyundai,Avante,2006,Silver ,Petrol ,Automatic,1600,105000,private ,21/09/2016,46000
Hyundai,Tucson,2011,Ferrani ,Diesel ,Automatic,2000,105000,private ,21/09/2016,105000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1600,106000,private ,21/09/2016,52000
Kia,Forte,2009,Silver ,Petrol ,Automatic,1600,106000,private ,22/09/2016,66000
Chevrolet,Optra,2007,White ,Petrol ,manuel,1600,107000,private ,21/09/2016,40000
Kia,Forte,2008,Silver ,Petrol ,Automatic,1600,110000,private ,22/09/2016,58000
Hyundai,i30,2008,Black ,Petrol ,manuel,1600,110000,private ,24/09/2016,62000
VW,Caddy,2013,Ferrani ,Diesel ,Automatic,1600,111000,private ,02/10/2016,108999
Peugeot,305,1983,White ,Petrol ,manuel,1300,111111,private ,24/09/2016,4200
Opel,Kadett,1983,White ,Petrol ,manuel,1295,111111,private ,25/09/2016,6500
Peugeot,207,2008,Ferrani ,Petrol ,Automatic,1600,114000,private ,27/09/2016,42000
VW,CC,2011,Black Metallic ,Petrol ,Automatic,1800,115000,private ,24/09/2016,89000
VW,Golf,2008,Residential ,Petrol ,manuel,1600,115000,private ,27/09/2016,75000
Kia,Forte,2009,Residential ,Petrol ,Automatic,1600,116000,private ,21/09/2016,60000
Hyundai,Accent,2009,White ,Petrol ,Automatic,1400,117000,private ,25/09/2016,45000
Peugeot,207,2008,Blue ,Petrol ,Automatic,1600,118000,private ,20/09/2016,43500
Mazda,3,2009,Residential ,Petrol ,Automatic,2000,119000,private ,21/09/2016,74000
BMW,i120,2007,Red ,Petrol ,Automatic,2000,120000,private ,20/09/2016,75000
Jeep,sofa,1994,Oily Color ,Petrol ,manuel,4200,120000,private ,21/09/2016,150000
Kia,Cerato,2007,Black Metallic ,Petrol ,Automatic,1600,120000,private ,21/09/2016,54000
Ford,Focus,2009,Blue ,Petrol ,manuel,1600,120000,private ,22/09/2016,50000
VW,Golf,2008,Silver ,Petrol ,manuel,1600,120000,private ,22/09/2016,72000
Peugeot,307,2005,Black ,Petrol ,Automatic,2000,120000,private ,22/09/2016,42000
Mitsubishi,Pajero,2008,بترولي ,Diesel ,Automatic,3200,120000,private ,25/09/2016,145000
Mercedes,ML350,2009,Silver ,Petrol ,Automatic,3500,120000,private ,25/09/2016,170000
Skoda,Octavia,2013,Brown ,Diesel ,Automatic,2000,120000,private ,24/09/2016,105000
Mazda,3,2009,Gray ,Petrol ,Automatic,1600,120000,private ,26/09/2016,40000
Skoda,Octavia,2012,White ,Diesel ,manuel,1600,120000,private ,26/09/2016,72000
Hyundai,Click,2008,White ,Petrol ,Automatic,1400,120000,private ,27/09/2016,39000
Chevrolet,Optra,2007,Residential ,Petrol ,manuel,1600,120000,private ,27/09/2016,40000
Audi,A80,1989,grey R ,Petrol ,manuel,1600,120000,private ,27/09/2016,20000
Hyundai,Accent,2013,White ,Diesel ,Automatic,1600,121000,private ,25/09/2016,75000
Hyundai,Accent,2011,Gray ,Diesel ,manuel,1600,121112,private ,21/09/2016,62000
Kia,Sorento,2007,Black ,Diesel ,Automatic,2500,122000,private ,20/09/2016,64000
VW,Kraval,2013,Purple ,Diesel ,manuel,2000,122000,Taxi ,25/09/2016,123000
Skoda,Octavia,2009,White ,Diesel ,manuel,1900,123458,Taxi ,24/09/2016,64000
Skoda,Octavia,2011,Blue ,Diesel ,manuel,1600,124000,private ,24/09/2016,90000
Skoda,Octavia,2015,Yellow ,Diesel ,manuel,1600,125000,Taxi ,20/09/2016,80000
Skoda,Roomster,2013,White ,Diesel ,manuel,1600,125000,private ,20/09/2016,69000
Citroen,C4,2012,Black Metallic ,Diesel ,Automatic,1600,125000,private ,21/09/2016,77000
Skoda,Octavia,2008,Ferrani ,Diesel ,manuel,1900,125000,Taxi ,24/09/2016,58000
Skoda,Octavia,2013,Blue ,Diesel ,manuel,1600,125000,private ,26/09/2016,90000
Opel,Astra,2011,Ferrani ,Petrol ,manuel,1600,126000,private ,22/09/2016,70000
BMW,520,2000,Silver ,Petrol ,Automatic,2000,127000,private ,25/09/2016,65000
VW,Golf,2003,Silver ,Petrol ,Automatic,1600,128863,private ,28/09/2016,48000
Skoda,Octavia,2013,Residential ,Diesel ,manuel,1600,130000,private ,20/09/2016,98000
Peugeot,406,1999,Silver ,Petrol ,Automatic,1800,130000,private ,21/09/2016,22000
Volkswagen,Passat,2003,Green ,Diesel ,Automatic,1900,130000,private ,21/09/2016,52000
Skoda,Octavia,2012,Blue Cyan ,Diesel ,manuel,1600,130000,private ,22/09/2016,95000
Skoda,Octavia,2011,Blue ,Diesel ,manuel,1600,130000,private ,24/09/2016,85000
Skoda,Roomster,2010,White Ivory ,Diesel ,manuel,1600,130000,private ,25/09/2016,66000
Hyundai,Tucson,2008,Silver ,Diesel ,Automatic,2000,130000,private ,27/09/2016,65000
Hyundai,Tucson,2008,Ferrani ,Diesel ,Automatic,2000,130000,private ,26/09/2016,69000
Volkswagen,Jetta,2012,Blue ,Diesel ,manuel,1600,130000,private ,27/09/2016,100000
VW,Golf,2008,Black ,Petrol ,manuel,1600,130005,private ,22/09/2016,74000
Peugeot,307,2007,Silver ,Petrol ,Automatic,1600,132000,private ,22/09/2016,70000
VW,Golf Plus,2003,Black ,Petrol ,manuel,1600,133000,private ,26/09/2016,56000
Volkswagen,Passat,1999,Blue ,Petrol ,manuel,1600,133000,private ,26/09/2016,39500
Chevrolet,Cruze,2009,Red ,Petrol ,Automatic,1600,133800,private ,20/09/2016,23500
Opel,Ascona,1983,Golden ,Petrol ,manuel,1300,136743,private ,21/09/2016,19000
Peugeot,307,2007,Golden ,Petrol ,Automatic,2000,138000,private ,22/09/2016,37000
Opel,Corsa,2003,Gray ,Petrol ,manuel,1200,140000,private ,22/09/2016,37500
Hyundai,Santaver,2007,Black ,Diesel ,Automatic,2200,140000,private ,25/09/2016,82000
VW,Transporter,2011,Russet ,Diesel ,manuel,2000,140000,private ,26/09/2016,130000
Kia,Pride,2007,Residential ,Petrol ,Automatic,1400,140000,private ,26/09/2016,42500
Skoda,Yeti,2012,Brown ,Diesel ,Automatic,2000,142000,private ,21/09/2016,140000
Daewoo,Matiz,2002,Green ,Petrol ,manuel,800,143212,private ,22/09/2016,21500
Daewoo,Matiz,2001,Green ,Petrol ,manuel,800,143212,private ,25/09/2016,21500
VW,Golf,2010,Gray ,Petrol ,manuel,1400,143300,private ,25/09/2016,87500
Audi,Q5,2009,Ferrani ,Petrol ,Automatic,2000,144000,private ,27/09/2016,137000
Volkswagen,Passat,2009,Silver ,Petrol ,Automatic,1800,145000,private ,25/09/2016,73500
Kia,Rio,2004,White Ivory ,Petrol ,Automatic,1400,145000,private ,21/09/2016,35000
Volkswagen,GTI,2008,Black ,Petrol ,Automatic,2000,145000,private ,25/09/2016,85000
Opel,Astra,2006,Silver ,Petrol ,manuel,1600,145000,private ,25/09/2016,46000
Opel,Corsa,2008,Gray ,Petrol ,manuel,1400,145000,private ,26/09/2016,48000
Volkswagen,Passat,2009,Silver ,Petrol ,Automatic,1800,145000,private ,27/09/2016,71500
BMW,E90,2007,Black Metallic ,Petrol ,Automatic,3000,150000,private ,20/09/2016,125000
Ford,Fiesta,2011,grey R ,Petrol ,Automatic,1400,150000,Rental ,22/09/2016,48000
VW,Caddy,2013,Residential ,Diesel ,Automatic,1600,150000,private ,22/09/2016,110000
Skoda,Octavia,2013,grey R ,Diesel ,Automatic,1600,150000,private ,22/09/2016,105000
VW,Golf,2006,Black Metallic ,Petrol ,manuel,1600,150000,private ,24/09/2016,65000
Audi,Q5,2013,White ,Diesel ,manuel,2000,150000,private ,24/09/2016,210000
Honda,Civic,2007,White Ivory ,Petrol ,Automatic,1800,150000,private ,25/09/2016,58000
Opel,Astra,2005,Silver ,Petrol ,manuel,1800,150000,private ,26/09/2016,54000
Volkswagen,Passat,1999,Green ,Petrol ,Automatic,1800,150000,private ,26/09/2016,38000
VW,Golf,2005,Blue ,Petrol ,Automatic,1600,154000,private ,21/09/2016,60000
Hyundai,Verna,2008,Silver ,Petrol ,Automatic,1600,155660,private ,20/09/2016,49000
Peugeot,406,1999,White Ivory ,Petrol ,manuel,1800,157000,private ,21/09/2016,28500
Peugeot,307,2007,Ferrani ,Petrol ,Automatic,2000,159000,private ,26/09/2016,41000
Hyundai,Santaver,2006,grey R ,Diesel ,Automatic,2200,160000,private ,20/09/2016,73000
Hyundai,Tucson,2010,Silver ,Diesel ,Automatic,2000,160000,private ,21/09/2016,83999
Fiat,Vrino,2008,Silver ,Diesel ,Automatic,1300,160000,private ,21/09/2016,46000
Volkswagen,Passat,1995,White ,Petrol ,manuel,1800,160000,training ,22/09/2016,24000
Hyundai,Santaver,2002,Residential ,Diesel ,manuel,1991,160000,private ,26/09/2016,50000
BMW,316,2003,Oily Color ,Petrol ,manuel,1600,162000,private ,25/09/2016,80000
Citroen,C4 Picasso,2014,Silver ,Diesel ,manuel,1600,162000,private ,25/09/2016,125000
Skoda,Octavia,2013,Residential ,Diesel ,manuel,1600,163000,private ,22/09/2016,92000
BMW,316,1979,Ivory ,Petrol ,manuel,1650,164000,Taxi ,24/09/2016,15000
Hyundai,Tucson,2007,grey R ,Diesel ,Automatic,1990,165000,private ,21/09/2016,62500
Chevrolet,Aveo,2010,Red ,Petrol ,Automatic,1400,165000,Rental ,24/09/2016,38000
Volkswagen,Passat,2006,Blue ,Petrol ,Automatic,2000,168000,private ,20/09/2016,68000
Audi,A80,1989,Oily Color ,Petrol ,manuel,1600,170000,private ,21/09/2016,18000
Volkswagen,Jetta,2009,Black ,Diesel ,manuel,1900,170000,private ,22/09/2016,70000
VW,Touran,2009,Ferrani ,Diesel ,manuel,1900,170000,private ,24/09/2016,860000
Mercedes,SL350,2004,Black ,Petrol ,Automatic,3700,170000,private ,25/09/2016,140000
Mazda,323,2000,Golden ,Petrol ,Automatic,1600,173000,private ,20/09/2016,45000
BMW,x3,2007,Silver ,Diesel ,Automatic,2950,175000,private ,21/09/2016,130000
BMW,330,2004,Gray ,Petrol ,Automatic,3000,175000,private ,22/09/2016,136000
Kia,Cerato,2006,grey R ,Petrol ,Automatic,1600,175000,private ,24/09/2016,50000
Volkswagen,Passat,2008,Black Metallic ,Diesel ,Automatic,2000,180000,private ,22/09/2016,74000
Fiat,Uno,1986,White ,Petrol ,manuel,1000,180000,private ,22/09/2016,16000
VW,Kraval,2012,Orange ,Diesel ,manuel,1968,180000,Taxi ,25/09/2016,65000
Opel,Astra,2006,Ferrani ,Petrol ,manuel,1600,180000,private ,25/09/2016,48000
VW,Polo,2008,Silver ,Petrol ,manuel,1400,180000,private ,24/09/2016,50000
Volkswagen,Passat,2008,Black ,Diesel ,Automatic,2000,180000,private ,25/09/2016,75000
Honda,Civic,2006,White ,Petrol ,Automatic,1800,180000,private ,25/09/2016,58000
Skoda,Octavia,2013,Black Metallic ,Diesel ,manuel,1600,180000,private ,27/09/2016,115000
Fiat,Panda,2016,grey R ,Petrol ,manuel,1250,185000,private ,24/09/2016,57000
Hyundai,i30,2008,grey R ,Petrol ,Automatic,1600,190000,private ,24/09/2016,58000
Skoda,eyelash,2010,Blue ,Diesel ,manuel,1900,190000,private ,24/09/2016,88000
Skoda,eyelash,2010,Blue ,Diesel ,manuel,1900,190000,private ,24/09/2016,88000
Skoda,Octavia,2013,Ferrani ,Diesel ,manuel,1600,190000,private ,25/09/2016,80000
Skoda,eyelash,2010,Blue ,Diesel ,manuel,1900,190000,private ,27/09/2016,90000
Opel,Zafira,2004,Silver ,Diesel ,manuel,1900,190000,private ,27/09/2016,50000
Hyundai,Tucson,2006,Oily Color ,Diesel ,Automatic,1995,198000,private ,21/09/2016,56000
Peugeot,Partner,2008,White ,Diesel ,manuel,1600,200000,private ,20/09/2016,55000
Hyundai,Gates,2008,Residential ,Petrol ,manuel,1004,200000,private ,21/09/2016,30000
Motorcycle,Sazuki GS500,2000,Blue ,Petrol ,manuel,500,200000,private ,21/09/2016,3300
VW,Caddy,2013,Residential ,Diesel ,manuel,1600,200000,private ,22/09/2016,98000
Opel,6 +1,2003,White ,Diesel ,manuel,1900,200000,private ,24/09/2016,42000
Kia,Rio,2008,Blue Cyan ,Petrol ,Automatic,1400,200000,private ,24/09/2016,43000
Fiat,doblo,2010,Golden ,Diesel ,manuel,2000,200000,private ,25/09/2016,70000
Skoda,Octavia,2008,Russet ,Diesel ,manuel,1900,200000,private ,24/09/2016,77000
Skoda,Octavia,2009,grey R ,Diesel ,manuel,1900,200000,private ,24/09/2016,88000
VW,Golf,2005,Blue Cyan ,Petrol ,Automatic,1600,200000,private ,25/09/2016,59500
Opel,Zafira,2003,White ,Diesel ,manuel,1900,200000,private ,26/09/2016,42000
Renault,R9,1983,Ivory ,Petrol ,manuel,1300,200000,private ,26/09/2016,8000
Mazda,323,1992,Red ,Petrol ,manuel,1600,202758,private ,22/09/2016,22000
Fiat,Punto,1995,Residential ,Petrol ,manuel,1100,202866,private ,24/09/2016,25000
Opel,Vectra,1998,Residential ,Petrol ,Automatic,2000,205000,private ,26/09/2016,25000
Audi,Q7,2007,Black ,Petrol ,Automatic,4500,208000,private ,24/09/2016,180000
Peugeot,Partner,2008,White ,Diesel ,manuel,1600,220000,private ,20/09/2016,57000
BMW,525,2006,Ferrani ,Petrol ,Automatic,2500,220000,private ,24/09/2016,119000
VW,Touran,2009,Residential ,Diesel ,Automatic,1900,225000,private ,27/09/2016,85000
Chevrolet,Optra,2008,Golden ,Petrol ,Automatic,1600,229000,Rental ,22/09/2016,35000
Chevrolet,Optra,2008,Golden ,Petrol ,Automatic,1600,229000,Rental ,22/09/2016,35000
Hyundai,i20,2010,Blue Cyan ,Petrol ,manuel,1250,238000,Rental ,26/09/2016,35000
VW,Touran,2009,Residential ,Diesel ,Automatic,1900,240000,private ,24/09/2016,88000
Fiat,doblo,2010,Ferrani ,Diesel ,manuel,1900,240000,Commercial ,24/09/2016,65000
Volkswagen,2002,2002,White ,Petrol ,Automatic,2000,245000,private ,24/09/2016,57000
GMC,Savannah,1994,Green ,Petrol ,Automatic,3000,245687,Commercial ,25/09/2016,30000
Mercedes,C220,2008,Ferrani ,Diesel ,Automatic,2200,250000,private ,25/09/2016,125000
Subaru,Impreza,1997,Red ,Petrol ,manuel,1600,255282,private ,25/09/2016,35000
Volkswagen,Passat,2002,Blue ,Diesel ,Automatic,2000,260000,private ,25/09/2016,44000
Mitsubishi,Lancer,1994,White ,Petrol ,manuel,1600,263000,private ,25/09/2016,37000
VW,Bora,2003,Silver ,Diesel ,manuel,1900,286000,Taxi ,20/09/2016,46000
Mitsubishi,L200,2008,Black ,Diesel ,Automatic,2500,290000,private ,24/09/2016,140000
Toyota,Land Cruiser,2005,Golden ,Diesel ,Automatic,3000,290000,private ,26/09/2016,170000
Opel,Ascona,1986,White Ivory ,Petrol ,manuel,1300,293678,private ,21/09/2016,16300
Kia,Optima,2013,Black ,Petrol ,Automatic,2000,320000,private ,22/09/2016,97000
Skoda,Octavia,2008,White Ivory ,Diesel ,manuel,1900,320000,Taxi ,24/09/2016,60000
Kia,Rio,2007,White ,Diesel ,manuel,1500,321000,Taxi ,26/09/2016,45000
Opel,Corsa,1999,Brown ,Petrol ,manuel,1400,325000,Rental ,27/09/2016,24000
Mercedes,416,2006,White ,Diesel ,manuel,2500,330000,Commercial ,24/09/2016,88000
Peugeot,Partner,2007,Blue ,Diesel ,manuel,1600,335000,private ,24/09/2016,54000
Mercedes,220,2005,Gray ,Diesel ,Automatic,2200,340000,private ,21/09/2016,77000
Mercedes,220,2005,Gray ,Diesel ,Automatic,2200,340000,private ,24/09/2016,77000
Subaru,Impreza,2001,Blue ,Petrol ,manuel,1600,350000,private ,20/09/2016,20000
Fiat,Punto,1996,White ,Petrol ,manuel,1600,376799,private ,26/09/2016,24000
Fiat,Punto,1996,White ,Petrol ,manuel,1600,383833,private ,26/09/2016,24000
Duff,55,2002,White ,Diesel ,manuel,250,400000,Commercial ,26/09/2016,160000
Kia,Sayed,2010,White ,Diesel ,manuel,1600,410000,Taxi ,26/09/2016,52000
Skoda,Felicia,1996,Blue ,Petrol ,manuel,1400,450000,private ,22/09/2016,18000
Skoda,Octavia,2009,White ,Diesel ,manuel,1900,450000,Taxi ,24/09/2016,68000
Skoda,eyelash 2009,2009,White ,Diesel ,manuel,1900,450000,Taxi ,24/09/2016,68000
Skoda,Octavia,2010,Ferrani ,Diesel ,manuel,1900,450000,Taxi ,26/09/2016,69000
Audi,A5,2011,Silver ,Petrol ,Automatic,2000,460000,private ,25/09/2016,180000
DAF,cf 6x4 430 flipflop,2004,White ,Diesel ,manuel,430,476000,private ,21/09/2016,220000
VW,Golf,2008,White Ivory ,Diesel ,manuel,1900,500000,Taxi ,22/09/2016,47000
Skoda,Octavia,2010,White ,Diesel ,manuel,1900,500000,Taxi ,25/09/2016,63000
VW,Bora,2005,White ,Diesel ,manuel,1900,500000,Taxi ,25/09/2016,48000
Mercedes,412,2000,White Ivory ,Diesel ,manuel,3500,528432,Commercial ,24/09/2016,92000
Opel,Zafira,2003,Blue ,Diesel ,manuel,1990,546356,private ,24/09/2016,45500
Skoda,Octavia,2004,Blue ,Diesel ,manuel,1900,550000,Taxi ,22/09/2016,46000
VW,Polo,1999,White Ivory ,Diesel ,manuel,1900,567993,Taxi ,26/09/2016,27000
VW,Kraval,2009,Orange ,Diesel ,manuel,2500,600000,Taxi ,21/09/2016,70000
Mercedes,416,2007,White ,Diesel ,manuel,2500,600000,Taxi ,21/09/2016,75000
Kia,Cerato,2013,Brown ,Petrol ,Automatic,1600,600000,private ,24/09/2016,93500
Volvo,Fl6,2000,White Ivory ,Diesel ,manuel,2000,650000,private ,24/09/2016,100000
Skoda,Octavia,2004,Blue Cyan ,Diesel ,manuel,1900,650647,Taxi ,27/09/2016,44000
Hyundai,Tucson,2013,Residential ,Diesel ,Automatic,2000,660000,private ,21/09/2016,99000
VW,Bora,2004,White ,Diesel ,manuel,1900,678905,Taxi ,24/09/2016,43000
Mercedes,E270,2001,Blue ,Diesel ,Automatic,2700,750000,Taxi ,26/09/2016,52000
Subaru,ant,1982,Blue ,Petrol ,manuel,1600,850000,private ,25/09/2016,10500
Peugeot,307,2003,grey R ,Petrol ,Automatic,1600,1000000,private ,22/09/2016,5000
Seat,Ibiza,2003,White ,Petrol ,manuel,1600,107098,private ,26/09/2016,3500
Opel,Kadett,1980,Golden ,Petrol ,manuel,1200,111789,private ,26/09/2016,11500
Kia,Sayed,2011,White Ivory ,Diesel ,manuel,1589,1950000,Taxi ,25/09/2016,60000
Audi,A4,2006,Blue Cyan ,Petrol ,Automatic,1800,187000,private ,24/09/2016,65000
Kia,Soul,2015,Blue ,Diesel ,Automatic,1600,19000,private ,24/09/2016,98500
VW,Polo,2012,Red ,Petrol ,manuel,1400,100000,private ,21/09/2016,67000
Volkswagen,Passat,2001,Blue ,Petrol ,manuel,1600,116000,private ,25/09/2016,42000
Opel,Astra,2008,Gray ,Petrol ,Automatic,1800,118000,private ,21/09/2016,58000
Kia,Rio,2005,White ,Petrol ,Automatic,1400,120000,private ,21/09/2016,38000
Opel,Vectra,1997,Green ,Petrol ,Automatic,1800,123467,private ,24/09/2016,20000
Mercedes,C200,2011,Black ,Petrol ,Automatic,1800,125000,private ,25/09/2016,155000
Skoda,Octavia,2012,Silver ,Diesel ,manuel,1600,130000,private ,25/09/2016,87000
Peugeot,307,2008,Golden ,Petrol ,Automatic,1600,134000,private ,25/09/2016,43000
Opel,Corsa,2007,Ferrani ,Petrol ,manuel,1400,140000,private ,24/09/2016,43500
VW,Polo,2006,Silver ,Petrol ,Automatic,1400,140000,private ,26/09/2016,52000
Peugeot,307,2007,Ferrani ,Petrol ,Automatic,2000,159000,private ,24/09/2016,42000
Skoda,Octavia,2014,Blue Cyan ,Diesel ,Automatic,2000,19000,private ,22/09/2016,125000
Citroen,C-Elysee,2014,Blue ,Petrol ,manuel,1200,20000,private ,25/09/2016,75000
VW,Kravcr,2010,White ,Diesel ,manuel,2400,204500,Commercial ,22/09/2016,90000
VW,Kravcr,2010,White ,Petrol ,manuel,2200,204500,Commercial ,25/09/2016,90000
Ford,Fiesta,2000,Gray ,Petrol ,manuel,1300,220000,private ,20/09/2016,28200
Mitsubishi,Lancer,1992,White Ivory ,Petrol ,Automatic,1500,220000,Taxi ,25/09/2016,16000
Skoda,Octavia,2007,Black ,Diesel ,Automatic,2000,260000,private ,26/09/2016,79000
Skoda,Rapid,2014,Black ,Petrol ,manuel,1200,27000,private ,24/09/2016,85000
VW,CC,2013,Golden ,Petrol ,Automatic,1800,30000,private ,26/09/2016,140000
Skoda,Rapid,2014,Blue ,Diesel ,manuel,1600,37260,private ,25/09/2016,85000
Ford,Focus,2013,Gray ,Petrol ,Automatic,1600,40000,private ,21/09/2016,75000
Peugeot,107,2013,Red ,Petrol ,manuel,1000,44000,private ,24/09/2016,49000
Skoda,Fabia,2014,Blue ,Petrol ,manuel,1200,49000,private ,20/09/2016,62000
Isuzu,3900,1996,White ,Diesel ,manuel,3900,500000,Commercial ,25/09/2016,30000
Seat,Ibiza,2012,Black ,Petrol ,manuel,1400,50500,private ,27/09/2016,62000
Hyundai,Accent,2014,White ,Petrol ,Automatic,140,50000,private ,22/09/2016,72000
Skoda,Fabia,2012,Red ,Petrol ,Automatic,1200,62000,private ,20/09/2016,62000
Skoda,Octavia,2015,Russet ,Diesel ,manuel,1600,70000,private ,21/09/2016,115000
Hyundai,i25,2011,White ,Diesel ,manuel,1600,70000,private ,25/09/2016,65000
Opel,Corsa,2012,Kermidi ,Petrol ,manuel,1400,77000,private ,21/09/2016,53000
Citroen,Ds5,2015,Russet ,Petrol ,Automatic,1600,8000,private ,26/09/2016,150000
Volkswagen,Passat,2006,Black Metallic ,Diesel ,Automatic,2000,85000,private ,22/09/2016,70000
Fiat,Punto,2010,Black ,Petrol ,manuel,1250,90000,private ,21/09/2016,42000